,ticker,total_volume,GICS_sector,GICS_sub_industry,vwap,transactions,trading_days,average_daily_volume
584,GHC,7937321.0,Consumer Discretionary,Education Services,680.4460257999999,1809.65,500,15874.642
972,NVR,10352616.0,Consumer Discretionary,Homebuilding,6978.4550836,4476.648,500,20705.232
959,NPK,15841003.0,Industrials,Aerospace & Defense,75.8886462,1285.964,500,31682.006
943,NEU,18483921.0,Materials,Specialty Chemicals,487.2941314,2625.782,500,36967.842
344,CRVL,20850756.0,Health Care,Health Care Services,236.5259842,2140.062,500,41701.512
174,BFS,21761842.0,Real Estate,Retail REITs,38.0003456,1240.422,500,43523.684
313,COKE,21900205.0,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,836.6943815999999,4186.938,500,43800.41
877,MLAB,22735306.0,Health Care,Health Care Equipment,125.8639738,2074.182,500,45470.612
1468,WRLD,23633098.0,Financials,Consumer Finance,117.9033102,2025.422,500,47266.196
1415,VRTS,23781910.0,Financials,Asset Management & Custody Banks,211.9448604,2165.24,500,47563.82
1102,PRK,25287181.0,Financials,Regional Banks,131.8767958,2002.388,500,50574.362
1319,TMP,26310795.0,Financials,Regional Banks,57.9540562,2030.376,500,52621.59
1279,SXI,28569523.0,Industrials,Industrial Machinery,153.0008598,2231.114,500,57139.046
1177,SAFT,29326171.0,Financials,Property & Casualty Insurance,78.096268,1913.73,500,58652.342
1369,UHT,30139268.0,Real Estate,Health Care REITs,43.2772596,1620.908,500,60278.536
1387,UTL,30884148.0,Utilities,Electric Utilities,52.995174,1693.326,500,61768.296
56,ALG,31257139.0,Industrials,Construction Machinery & Heavy Trucks,183.3107914,2423.474,500,62514.278
366,CVCO,31737610.0,Consumer Discretionary,Homebuilding,333.5390822,3677.012,500,63475.22
271,CHCO,31742497.0,Financials,Regional Banks,102.1910066,2212.018,500,63484.994
734,JBSS,31984593.0,Consumer Staples,Packaged Foods & Meats,99.064049,2541.762,500,63969.186
947,NHC,32462226.0,Health Care,Health Care Facilities,86.317429,2363.814,500,64924.452
309,CNXN,34558386.0,Information Technology,Technology Distributors,58.5097546,2313.486,500,69116.772
1366,UFPT,36035905.0,Health Care,Health Care Equipment,205.0261756,3014.336,500,72071.81
1384,USNA,37071905.0,Consumer Staples,Packaged Foods & Meats,51.560860399999996,2354.784,500,74143.81
1372,UNF,37814256.0,Industrials,Diversified Support Services,175.9094546,2782.552,500,75628.512
